carriers,locs,techs,timesteps,capacity_factor
electricity,NL11,battery,2015-03-01 00:00:00,0.0
electricity,NL11,battery,2015-03-01 03:00:00,0.0
electricity,NL11,battery,2015-03-01 06:00:00,0.0
electricity,NL11,battery,2015-03-01 09:00:00,0.0
electricity,NL11,battery,2015-03-01 12:00:00,0.0
electricity,NL11,battery,2015-03-01 15:00:00,0.0
electricity,NL11,battery,2015-03-01 18:00:00,3.0000000644776463
electricity,NL11,battery,2015-03-01 21:00:00,0.0
electricity,NL11,battery,2015-03-02 00:00:00,0.0
electricity,NL11,battery,2015-03-02 03:00:00,0.0
electricity,NL11,battery,2015-03-02 06:00:00,0.0
electricity,NL11,battery,2015-03-02 09:00:00,0.0
electricity,NL11,battery,2015-03-02 12:00:00,0.0
electricity,NL11,battery,2015-03-02 15:00:00,0.0
electricity,NL11,battery,2015-03-02 18:00:00,0.0
electricity,NL11,battery,2015-03-02 21:00:00,0.0
electricity,NL11,battery,2015-03-03 00:00:00,0.0
electricity,NL11,battery,2015-03-03 03:00:00,0.0
electricity,NL11,battery,2015-03-03 06:00:00,3.0000000644776463
electricity,NL11,battery,2015-03-03 09:00:00,0.9200000051582117
electricity,NL11,battery,2015-03-03 12:00:00,0.0
electricity,NL11,battery,2015-03-03 15:00:00,0.0
electricity,NL11,battery,2015-03-03 18:00:00,0.0
electricity,NL11,battery,2015-03-03 21:00:00,0.0
electricity,NL11,battery,2015-03-04 00:00:00,0.0
electricity,NL11,battery,2015-03-04 03:00:00,0.0
electricity,NL11,battery,2015-03-04 06:00:00,0.0
electricity,NL11,battery,2015-03-04 09:00:00,0.0
electricity,NL11,battery,2015-03-04 12:00:00,0.0
electricity,NL11,battery,2015-03-04 15:00:00,1.3463864889413422
electricity,NL11,battery,2015-03-04 18:00:00,0.0
electricity,NL11,battery,2015-03-04 21:00:00,0.0
electricity,NL11,battery,2015-03-05 00:00:00,3.0000000644776463
electricity,NL11,battery,2015-03-05 03:00:00,0.9200000051582117
electricity,NL11,battery,2015-03-05 06:00:00,0.0
electricity,NL11,battery,2015-03-05 09:00:00,0.0
electricity,NL11,battery,2015-03-05 12:00:00,0.0
electricity,NL11,battery,2015-03-05 15:00:00,0.0
electricity,NL11,battery,2015-03-05 18:00:00,0.0
electricity,NL11,battery,2015-03-05 21:00:00,0.0
electricity,NL11,battery,2015-03-06 00:00:00,0.0
electricity,NL11,battery,2015-03-06 03:00:00,0.0
electricity,NL11,battery,2015-03-06 06:00:00,0.0
electricity,NL11,battery,2015-03-06 09:00:00,0.0
electricity,NL11,battery,2015-03-06 12:00:00,0.0
electricity,NL11,battery,2015-03-06 15:00:00,0.0
electricity,NL11,battery,2015-03-06 18:00:00,0.0
electricity,NL11,battery,2015-03-06 21:00:00,0.0
electricity,NL11,battery,2015-03-07 00:00:00,0.0
electricity,NL11,battery,2015-03-07 03:00:00,0.0
electricity,NL11,battery,2015-03-07 06:00:00,0.0
electricity,NL11,battery,2015-03-07 09:00:00,0.0
electricity,NL11,battery,2015-03-07 12:00:00,0.0
electricity,NL11,battery,2015-03-07 15:00:00,0.0
electricity,NL11,battery,2015-03-07 18:00:00,0.0
electricity,NL11,battery,2015-03-07 21:00:00,0.0
electricity,NL11,battery,2015-03-08 00:00:00,0.0
electricity,NL11,battery,2015-03-08 03:00:00,0.0
electricity,NL11,battery,2015-03-08 06:00:00,2.6123314401191906
electricity,NL11,battery,2015-03-08 09:00:00,0.0
electricity,NL11,battery,2015-03-08 12:00:00,0.0
electricity,NL11,battery,2015-03-08 15:00:00,0.24052920415047768
electricity,NL11,battery,2015-03-08 18:00:00,0.0
electricity,NL11,battery,2015-03-08 21:00:00,0.0
electricity,NL11,battery,2015-03-09 00:00:00,0.0
electricity,NL11,battery,2015-03-09 03:00:00,0.0
electricity,NL11,battery,2015-03-09 06:00:00,0.0
electricity,NL11,battery,2015-03-09 09:00:00,3.0000000644776463
electricity,NL11,battery,2015-03-09 12:00:00,0.0
electricity,NL11,battery,2015-03-09 15:00:00,0.0
electricity,NL11,battery,2015-03-09 18:00:00,0.0
electricity,NL11,battery,2015-03-09 21:00:00,0.0
electricity,NL11,battery,2015-03-10 00:00:00,0.0
electricity,NL11,battery,2015-03-10 03:00:00,0.0
electricity,NL11,battery,2015-03-10 06:00:00,0.0
electricity,NL11,battery,2015-03-10 09:00:00,0.0
electricity,NL11,battery,2015-03-10 12:00:00,0.0
electricity,NL11,battery,2015-03-10 15:00:00,0.0
electricity,NL11,battery,2015-03-10 18:00:00,0.0
electricity,NL11,battery,2015-03-10 21:00:00,0.0
electricity,NL11,battery,2015-03-11 00:00:00,0.0
electricity,NL11,battery,2015-03-11 03:00:00,0.0
